name;description;element_type;country;lat;long;exact
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT
[];[];[];[];[deg];[deg];[]
Aberdeen;;{C};Grossbritannien;57.149717;-2.094278;2
Achim ;;{C};Deutschland;53.0092;9.0510401;2
Ajdovscina;;{C};Slowenien;45.8869025;13.909914;2
AlcazarDeSanJuan;;{C};Spanien;39.3900748;-3.2100984;2
Aleksandrovka;;{C};Ukraine;47.6914432;31.2759129;2
Algete;;{C};Spanien;40.594137;-3.505781;2
Almendralejo;;{C};Spanien;38.694414;-6.409627;2
Alphen;;{C};Holland;51.4823836;4.9533065;2
Alrewas;;{C};Grossbritannien;52.73869018;-1.77561329;1
Ananiev;;{C};Ukraine;47.714758;29.9913264;2
AnnaPaulowna;;{C};Holland;52.8616158;4.8238091;2
ArieuxEnGohelle;;{C};Frankreich;50.36334;2.869612;2
Arnedo;;{C};Spanien;42.2256792;-2.1020752;2
Auros;;{C};Frankreich;44.495849;-0.146575;2
AuversLeHanom;;{C};Frankreich;47.902617;-0.353136;2
Avion;;{C};Frankreich;50.412326;2.824277;2
Avonbridge;;{C};Grossbritannien;55.919744;-3.740241;2
Avonmouth;;{C};Grossbritannien;51.5306638;-2.654260229;1
Aylesbury;;{C};Grossbritannien;51.86022749;-0.962549867;1
Baldenheim;;{C};Frankreich;48.237634;7.539465;2
Ballylumford;;{C};Grossbritannien;54.8460872;-5.7891679;2
Baneras;;{C};Spanien;41.2794548;1.5808175;2
Bar;Vinnytsia region;{C};Ukraine;49.0768482;27.6826121;2
Barbaira;;{C};Frankreich;43.185493;2.510458;2
Bata;;{C};Ungarn;46.126703;18.7741311;2
Bathgate;;{C};Grossbritannien;55.9024;-3.643118;2
Baumgarten; an der March;{C};Oesterreich;48.30886;16.86975;2
Berdichev;;{C};Ukraine;49.9106591;28.5900313;2
Beregdaroc;;{C};Ungarn;48.1985108;22.5320069;2
Beregovaya;;{C};Russland;47.215356;39.7212251;2
Berneau;;{C};Belgien;50.7427406;5.7306194;2
Beverwijk;;{C};Holland;52.4869842;4.6574468;2
Beynes;;{C};Frankreich;;;5
Bibesti;;{C};Rumaenien;44.7815366;23.4907078;2
Bishop;;{C};Grossbritannien;54.6707702;-1.565698513;1
Bobbau;;{C};Deutschland;51.6905857;12.269599;2
Brammer;;{C};Deutschland;54.1996737;9.7642241;2
Brandov;;{C};Tschechien;50.6320103;13.390731;2
Breal;;{C};Frankreich;48.048439;-1.864231;2
Breclav;;{C};Tschechien;48.75314;16.8825169;2
Breheville;;{C};Frankreich;49.382658;5.329267;2
Brighthouse;;{C};Grossbritannien;54.78735;-4.12912;2
Brizambourg;;{C};Frankreich;45.822208;-0.479831;2
Bunde;;{C};Deutschland;53.1850881;7.2712674;2
Cambridge;;{C};Grossbritannien;52.0812606;0.166856789;1
Captiex;;{C};Frankreich;44.291534;-0.261723;2
Carnforth;;{C};Grossbritannien;54.10108859;-2.737139207;1
Carregado;;{C};Portugal;39.0226889;-8.9769208;2
ChateauLandon;;{C};Frankreich;48.150232;2.704426;2
Chazelles;;{C};Frankreich;45.64714;0.367019;2
Chelmsford;;{C};Grossbritannien;51.75082117;0.404054565;1
Chinchilla;;{C};Spanien;38.9195312;-1.7252937;2
Churchover;;{C};Grossbritannien;52.41508373;-1.27196689;1
Ciechanow;;{C};Polen;52.8814838;20.6197948;2
Cieszyn;;{C};Polen;49.7497638;18.6354709;2
Cordoba;;{C};Spanien;37.8881751;-4.7793835;2
Courthezon;;{C};Frankreich;44.085647;4.882963;2
Crevillente;;{C};Spanien;38.2446844;-0.8113636;2
Denia;;{C};Spanien;38.8387992;0.1050557;2
DierreyStJulien;;{C};Frankreich;48.310884;3.829932;2
Diss;;{C};Grossbritannien;52.33222249;1.132177892;1
Dolyna;;{C};Ukraine;48.9764573;23.9892459;2
Drochia;;{C};Moldawien;48.1177021;27.8080001;2
Eggendorf;;{C};Oesterreich;47.8581317;16.3221872;2
Egtved;;{C};Daenemark;55.617559;9.3122919;2
Eischleben;;{C};Deutschland;50.8886778;10.9890421;2
Ellund;Deudan;{C};Deutschland;54.7958121;9.3083302;2
Elten;;{C};Deutschland;51.873211;6.1623348;2
Embsen;;{C};Deutschland;53.1747532;10.3446847;2
Enna;;{C};Italien;37.5099321;14.262851;2
EntreDeuxGuiers;;{C};Frankreich;45.433287;5.7521129;2
Euskadour;;{C};Spanien;;;5
EvryGregy;;{C};Frankreich;48.6539418;2.6357442;2
Felindre;;{C};Grossbritannien;51.69076021;-3.955976771;1
Gallese;;{C};Italien;42.3716913;12.402601;2
Gernsheim;;{C};Deutschland;49.7574082;8.4885231;2
Golenoiow;;{C};Polen;53.56382;14.82843;2
Grafendorf ;bei Hartberg;{C};Oesterreich;47.3404037;15.9911036;2
Griespass;;{C};Italien;46.45;8.3666667;2
Grijpskerk;;{C};Holland;51.5336858;3.5624386;2
Gustorzyn;;{C};Polen;52.6591774;18.8777344;2
Gusyatin;;{C};Ukraine;49.073147;26.1831731;2
Haiming;;{C};Deutschland;48.2120837;12.8875966;2
Hajduszoboszlo;;{C};Ungarn;47.4435369;21.3965516;2
Haro;;{C};Spanien;42.5768716;-2.8502302;2
HassiRMel;;{C};Algerien;32.9349916;3.2684215;2
Hatton;;{C};Grossbritannien;53.26989703;-0.240515533;1
Herbstein;;{C};Deutschland;50.549247;9.33958;2
Hespenbusch;;{C};Deutschland;;;5
Hilvarenbeek;;{C};Holland;51.4856827;5.1384062;2
HoraSvateKateriny;;{C};Tschechien;50.6063162;13.4367336;2
Hostim;;{C};Tschechien;49.0185906;15.894895;2
Huegelheim;;{C};Deutschland;47.8302767;7.6210786;2
Huntingdon;;{C};Grossbritannien;52.31032265;-0.362344801;1
Hust;;{C};Ukraine;48.1734633;23.2972476;2
Ihtiman;;{C};Bulgarien;42.4382418;23.8161718;2
Imatra;;{C};Finnland;61.1695977;28.7645463;2
Istrana;;{C};Italien;45.6785527;12.0995515;2
Ivasevichi;;{C};Weissrussland;52.7079632;25.3353752;2
Jaroslaw;;{C};Polen;50.0161463;22.6777169;2
Jauniunai;;{C};Litauen;54.941019;25.00762;2
Jeleniow;;{C};Polen;50.4219019;16.2595368;2
Jupa;;{C};Rumaenien;45.4591308;22.186488;2
Kardam;;{C};Bulgarien;43.7538009;28.1079003;2
Kasachya;;{C};Ukraine;49.5833333;36.35;2
Kidricevo;;{C};Slowenien;46.4050135;15.7947234;2
Kings;;{C};Grossbritannien;52.71317124;0.545055276;1
Kipi;;{C};Estland;58.2502984;22.0401873;2
Kipoi;;{C};Griechenland;39.8642073;20.792365;2
Kirchberg;Wagram;{C};Oesterreich;48.4319861;15.8974939;2
Kirovograd;;{C};Ukraine;48.507933;32.262317;2
Kirriemuir;;{C};Grossbritannien;56.68104364;-2.925588306;1
Kobrin;;{C};Weissrussland;52.2141109;24.3581792;2
Kondratki;;{C};Polen;53.0156509;23.910169;2
Kouchdiet;;{C};Algerien;36.936721;8.642711;2
Kourim;;{C};Tschechien;50.0030583;14.63623176;2
Kouvola;;{C};Finnland;60.8678835;26.7041602;2
Kralice;;{C};Tschechien;49.1992726;16.2015641;2
Krsilov;;{C};Ukraine;49.6492023;26.9757217;2
Krummhoern;;{C};Deutschland;53.4356138;7.0972598;2
Krupki;;{C};Weissrussland;54.3269605;29.1426031;2
LaBegudeDeMazenc;;{C};Frankreich;44.5458519;4.935637;2
Lanzhot;;{C};Tschechien;48.7244312;16.9669527;2
Laprade;;{C};Frankreich;43.443079;2.258728;2
Lippe;;{C};Deutschland;51.9759031;8.9865279;2
Lockerley;;{C};Grossbritannien;51.02403276;-1.570798531;1
Lozenets;;{C};Bulgarien;42.2082646;27.8066174;2
Lubmin;;{C};Deutschland;54.151364;13.656171;1
Malbroghetto;Compressor;{C};Italian;46.503733;13.416054;1
Mallnow;;{C};Deutschland;52.4615586;14.4924285;2
Mantsala;;{C};Finnland;60.6638584;25.2836053;2
MaraisVernier;;{C};Frankreich;49.419813;0.454816;2
Mazerolles;;{C};Frankreich;43.449488;-0.469473;2
Melizzano;;{C};Italien;41.160924;14.5053116;2
Mellitah;;{C};Libyen;32.8547005;12.2404869;2
MerySurCher;;{C};Frankreich;47.248274;1.992231;2
Messina;;{C};Italien;38.1938137;15.5540152;2
Minerbio;;{C};Italien;44.6268305;11.4921045;2
Minskaya;;{C};Weissrussland;55.7236576;37.4978699;2
MittelbrunnMEGAL;;{C};Deutschland;49.376405;7.567024;1
MittelbrunnTENP;;{C};Deutschland;49.374422;7.563924;1
Moffat;;{C};Grossbritannien;55.27762088;-3.438048755;1
Montauban;;{C};Frankreich;44.0221252;1.3529599;2
Montesa;;{C};Spanien;38.9338004;-0.6298922;2
Montesano;;{C};Italien;40.2762751;15.7028745;2
Mosonmagyarovar;;{C};Ungarn;47.8681469;17.2689169;2
Navarra;;{C};Spanien;42.6953909;-1.6760691;2
NeaMessimvria;;{C};Griechenland;40.7525173;22.7703233;2
Nemesbikk;;{C};Ungarn;47.8876867;20.9661155;2
Nesvizh;;{C};Weissrussland;53.2226038;26.6766138;2
NetherKellett;;{C};Grossbritannien;54.1053065;-2.7458301;2
Nozay;;{C};Frankreich;47.564751;-1.626916;2
Oberkappel;Neustift;{C};Oesterreich;48.5527707;13.7716319;2
Odolanow;;{C};Polen;51.57429;17.67392;2
Olbernhau;;{C};Deutschland;50.6588625;13.3383108;2
Olbio;;{C};Italien;40.9235764;9.4964429;2
Oldeboorn;;{C};Holland;53.0481093;5.8924892;2
Ommen;;{C};Holland;52.50998;6.417392;2
Orlovka;;{C};Ukraine;54.7929425;20.5292624;2
Orshan;Orsha;{C};Weissrussland;54.5071478;30.4119546;2
Oslavou;;{C};Tschechien;49.2054564;16.1557447;2
Palleau;;{C};Frankreich;46.958;5.028608;2
Paterna;;{C};Spanien;39.5037093;-0.4431618;2
Peterborough;;{C};Grossbritannien;52.62697052;-0.301506985;1
Petrich;;{C};Bulagrien;41.3981081;23.2066849;2
Pitgam;;{C};Frankreich;50.9281999;2.330923;2
Pnevezys;;{C};Litauen;55.7347915;24.3574774;2
Podisor;;{C};Rumaenien;44.3888081;25.7148719;2
PoggioRenatico;;{C};Italien;44.76282;11.4815423;2
PolskiSenovets;;{C};Bulgarien;43.156944;25.3000001;2
Portovaya;Portovaya Bay /Vyborg;{C};Russland;54.692573;20.459968;2
Porz;;{C};Deutschland;50.871359;7.0719899;2
Provadiya;;{C};Bulgarien;43.177032;27.4405725;2
Puertollano;;{C};Spanien;38.6884458;-4.1078877;2
PuthSchinnen;;{C};Holland;50.9554323;5.8705487;2
Radeland;Baruth;{C};Deutschland;52.516181;13.376935;2
Rainbach;im Muhlkreis;{C};Oesterreich;48.5581637;14.4769037;2
Ravenstein;;{C};Holland;51.7967784;5.6515008;2
Reckrod;;{C};Deutschland;50.7747552;9.7952332;2
Rehden;;{C};Deutschland;52.6100633;8.4814852;2
Rimpar;;{C};Deutschland;49.8539173;9.9599557;2
Rixfeld;Herbstein;{C};Deutschland;50.5791388;9.383447;2
Rohatyn;;{C};Ukraine;49.4099366;24.6106017;2
Rososh;;{C};Ukraine;48.4942953;23.1435317;2
Rothenstadt;;{C};Deutschland;49.6331588;12.1403599;2
Roussines;;{C};Frankreich;45.725297;0.6186779;2
Ruden;;{C};Oesterreich;46.6592459;14.7703928;2
Rueckersdorf;;{C};Deutschland;49.4976771;11.2429141;2
Russkaya;;{C};Russland;45.6415289;39.7055977;2
Ruswil;;{C};Schweiz;47.0840593;8.1262881;2
SanSalvoFlumeTreste;;{C};Italian;42.024817;14.701403;1
Sayda;;{C};Deutschland;50.7111036;13.4235005;2
Scheemda;;{C};Holland;53.1763506;6.9723944;2
Schwarzach;;{C};Deutschland;48.727117;8.055866;1
Scunthorpe;;{C};Grossbritannien;53.52982942;-0.682635915;1
Sergnano;;{C};Italien;45.4266784;9.7021403;2
Settala;;{C};Italian;45.451046;9.403412;1
Sevilla;;{C};Spanien;37.3890924;-5.9844589;2
Silistea;;{C};Rumaenien;44.4004266;28.1771147;2
Slavyanskaya;Ust-Luga port;{C};Russland;59.6533827;28.2696934;2
Slonim;;{C};Weissrussland;53.0875127;25.3087192;2
Smolensk;;{C};Russland;54.7903112;32.0503663;2
Spijk;;{C};Holland;51.8557688;5.0077464;2
StArnoultDesBois;;{C};Frankreich;48.492532;1.261686;2
Stavischenskaya;;{C};Ukraine;49.5405738;30.8772055;2
StFurgus_C_1;;{C};Grossbritannien;57.56;-1.84;4
StFurgus_C_2;;{C};Grossbritannien;57.56;-1.84;4
StMartinDeCrau;;{C};Frankreich;43.638628;4.812107;2
Stolberg;Schwarzenbruch;{C};Deutschland;50.7851608;6.185356;2
Strandja;;{C};Bulgarien;42.0125;27.608611;2
StutenseeBlankenloch;;{C};Deutschland;49.068612;8.4738774;2
StVictor;;{C};Frankreich;46.3950249;2.607516;2
Szamotuly;;{C};Polen;52.6116547;16.5779047;2
Talnoe;;{C};Ukraine;48.887593;30.7044131;2
Tarsia;;{C};Italien;39.6202304;16.2680254;2
TerranuovaBracciolini;Terranuova Bracciolini;{C};Italien;43.5630499;11.5930268;2
Tivisa;;{C};Spanien;41.0408609;0.7330858;2
Toulouse;;{C};Frankreich;43.604652;1.444209;2
Valchi Dol;;{C};Bulgarien;43.4055329;27.5511887;2
Varosfoeld;;{C};Ungarn;46.8174844;19.7597893;2
VelikaLudina;;{C};Kroatien;45.606141;16.5895288;2
VelkeKapusany;;{C};Slowakei;48.5538608;22.0749232;2
VeseliNadLuznici;;{C};Tschechien;49.1865156;14.6991941;2
VillarDeArnedo;;{C};Spanien;42.30419;-2.07075;1
Vindecy;;{C};Frankreich;46.352556;4.010777;2
Voisines;;{C};Frankreich;48.25245;3.394035;2
Volovets;;{C};Ukraine;48.7114913;23.1850055;2
Vulkaneshty;;{C};Moldawien;45.683708;28.48324;2
Waidhaus;;{C};Deutschland;49.6417301;12.4962639;2
Wardenburg;;{C};Deutschland;53.0580029;8.1991278;2
Warrington;;{C};Grossbritannien;53.408661;-2.480795373;1
Weeide;;{C};Belgien;51.3022166;4.4114244;2
Weisweiler;;{C};Deutschland;50.8273398;6.3147251;2
Weitendorf;;{C};Oesterreich;46.896;15.466;2
Wieringermeer;;{C};Holland;52.7218944;5.7318451;2
Wildenranna;;{C};Deutschland;48.5798766;13.7361922;2
Winksele;;{C};Belgien;50.8974666;4.6435179;2
Wisbech;;{C};Grossbritannien;52.72414573;0.163393056;1
Wloclawek;;{C};Polen;52.6483303;19.0677357;2
Wooler;;{C};Grossbritannien;55.58130289;-2.086443142;1
Wormington;;{C};Grossbritannien;52.02891528;-1.928437644;1
Zambrow;;{C};Polen;52.9849941;22.2413857;2
Zamora;;{C};Spanien;41.5034712;-5.7467879;2
Zaragoza;;{C};Spanien;41.6488226;-0.8890853;2
Zelzate;;{C};Belgien;51.1987114;3.8119772;2
Zevenaar;;{C};Holland;51.9345728;6.0741029;2
Zweekhorst;;{C};Holland;51.9605323;6.0759819;2
