NumID;Name;Point;lat;long;description
INT;TEXT;TEXT;REAL;REAL;TEXT
[int];[str];[str];[double];[double];[str]
;AlcazarDeSanJuan_Chinchilla;AlcazarDeSanJuan;;;AlcazarDeSanJuan_Chinchilla
;AlcazarDeSanJuan_Chinchilla;Chinchilla;;;AlcazarDeSanJuan_Chinchilla
;AlcazarDeSanJuan_Madrid;AlcazarDeSanJuan;;;AlcazarDeSanJuan_Madrid
;AlcazarDeSanJuan_Madrid;Madrid;;;AlcazarDeSanJuan_Madrid
;Alessandria_Cortemaggiore;Cortemaggiore;;;Alessandria_Cortemaggiore
;Alessandria_Cortemaggiore;Alessandria;;;Alessandria_Cortemaggiore
;Almendralejo_Badajoz;Almendralejo;;;Almendralejo_Badajoz
;Almendralejo_Badajoz;Badajoz;;;Almendralejo_Badajoz
;Almendralejo_Zamora;Almendralejo;;;Almendralejo_Zamora
;Almendralejo_Zamora;Zamora;;;Almendralejo_Zamora
;Altamura_Candela;Candela;;;Altamura_Candela
;Altamura_Candela;Altamura;;;Altamura_Candela
;Altamura_Latiano;Latiano;;;Altamura_Latiano
;Altamura_Latiano;Altamura;;;Altamura_Latiano
;Altamura_MonteAlpi;MonteAlpi;;;Altamura_MonteAlpi
;Altamura_MonteAlpi;Altamura;;;Altamura_MonteAlpi
;Altamura_Palagiano;Palagiano;;;Altamura_Palagiano
;Altamura_Palagiano;Altamura;;;Altamura_Palagiano
;Angouleme_Roussines;Angouleme;;;Extra bei Hand
;Angouleme_Roussines;Roussines;;;Extra bei Hand
;Arad_Szeged;Arad;;;Arad_Szeged
;Arad_Szeged;Szeged;;;Arad_Szeged
;Arnoldstein_Tarvisio_Extra;Tarvisio;;;Arnoldstein_Tarvisio_Extra
;Arnoldstein_Tarvisio_Extra;Arnoldstein;;;Arnoldstein_Tarvisio_Extra
;ArtereDeLAdour;SanSebastian;;;ArtereDeLAdour
;ArtereDeLAdour;Bayonne;;;ArtereDeLAdour
;Badajoz_Leiria;Badajoz;;;Badajoz_Leiria
;Badajoz_Leiria;Leiria;;;Badajoz_Leiria
;BBL;Bacton;;;BBL
;BBL;AnnaPaulowna;;;BBL
;Benevento_Biccari;Biccari;;;Benevento_Biccari
;Benevento_Biccari;Benevento;;;Benevento_Biccari
;Bernalda_Grumento;Grumento;;;Bernalda_Grumento
;Bernalda_Grumento;Bernalda;;;Bernalda_Grumento
;Berneau_Eynatten;Berneau;;;Berneau_Eynatten
;Berneau_Eynatten;Eynatten;;;Berneau_Eynatten
;Beziers_Lacq;Beziers;;;Beziers_Lacq
;Beziers_Lacq;Lacq;;;Beziers_Lacq
;BGTP;Belfast;;;BGTP
;BGTP;Ballylumford;;;BGTP
;Biccari_Candela;Candela;;;Biccari_Candela
;Biccari_Candela;Biccari;;;Biccari_Candela
;Bordano_MoggioUdinesse_1;MoggioUdinesse;;;Bordano_MoggioUdinesse_1
;Bordano_MoggioUdinesse_1;Bordano;;;Bordano_MoggioUdinesse_1
;Bordano_MoggioUdinesse_2;MoggioUdinesse;;;Bordano_MoggioUdinesse_2
;Bordano_MoggioUdinesse_2;Bordano;;;Bordano_MoggioUdinesse_2
;Bosentino_Trento_1;Trento;;;Bosentino_Trento_1
;Bosentino_Trento_1;Bosentino;;;Bosentino_Trento_1
;Bosentino_Trento_2;Trento;;;Bosentino_Trento_2
;Bosentino_Trento_2;Bosentino;;;Bosentino_Trento_2
;Bourbonne_Lyon;Lyon;;;Bourbonne_Lyon
;Bourbonne_Lyon;Bourbonne;;;Bourbonne_Lyon
;Bourbonne_Paris;Paris;;;Bourbonne_Paris
;Bourbonne_Paris;Bourbonne;;;Bourbonne_Paris
;Brest_Donges;Donges;;;Brest_Donges
;Brest_Donges;Brest;;;Brest_Donges
;Brindisi_Ampeleia;Ampeleia;;;Brindisi_Ampeleia
;Brindisi_Ampeleia;Brindisi;;;Brindisi_Ampeleia
;BRUA;Podisor;;;BRUA
;BRUA;Recas;;;BRUA
;BRUA_Extra_1;Arad;;;BRUA_E
;BRUA_Extra_1;Recas;;;BRUA_E
;BRUA_Extra_2;Szeged;;;BRUA_E
;BRUA_Extra_2;Varosfoeld;;;BRUA_E
;BRUA_Extra_2;Budapest;;;BRUA_E
;BRUA_Extra_2;DeutschJahndorf;;;BRUA_E
;Burgos_SanSebastian;SanSebastian;;;Burgos_SanSebastian
;Burgos_SanSebastian;Burgos;;;Burgos_SanSebastian
;Burgos_Santander;Santander;;;Burgos_Santander
;Burgos_Santander;Burgos;;;Burgos_Santander
;Burgos_Valladolid;Valladolid;;;Burgos_Valladolid
;Burgos_Valladolid;Burgos;;;Burgos_Valladolid
;CalderariEnna_Gela;Gela;;;CalderariEnna_Gela
;CalderariEnna_Gela;CalderariEnna;;;CalderariEnna_Gela
;CalderariEnna_Menfi_1;Menfi;;;CalderariEnna_Menfi_1
;CalderariEnna_Menfi_1;CalderariEnna;;;CalderariEnna_Menfi_1
;CalderariEnna_Menfi_2;Menfi;;;CalderariEnna_Menfi_2
;CalderariEnna_Menfi_2;CalderariEnna;;;CalderariEnna_Menfi_2
;Caldonazzo_Bosentino;Bosentino;;;Caldonazzo_Bosentino
;Caldonazzo_Bosentino;Caldonazzo;;;Caldonazzo_Bosentino
;CampagnaLupia_RavennaTerra;Cavarzere;;;CampagnaLupia_RavennaTerra
;CampagnaLupia_RavennaTerra;CampagnaLupia;;;CampagnaLupia_RavennaTerra
;Campochiaro_Melizzano;Melizzano;;;Campochiaro_Melizzano
;Campochiaro_Melizzano;Campochiaro;;;Campochiaro_Melizzano
;CampoMaior_Leira;Leiria;;;CampoMaior_Leira
;CampoMaior_Leira;CampoMaior;;;CampoMaior_Leira
;Cartagena_Almeria;Cartagena;;;Cartagena_Almeria
;Cartagena_Almeria;Almeria;;;Cartagena_Almeria
;Cartagena_Montesa;Montesa;;;Cartagena_Montesa
;Cartagena_Montesa;Cartagena;;;Cartagena_Montesa
;Cavarzere_Minerbio;Minerbio;;;Cavarzere_Minerbio
;Cavarzere_Minerbio;Cavarzere;;;Cavarzere_Minerbio
;Cavarzere_RavennaTerra;RavennaTerra;;;Cavarzere_RavennaTerra
;Cavarzere_RavennaTerra;Cavarzere;;;Cavarzere_RavennaTerra
;Cervignano_Ripalta;Ripalta;;;Cervignano_Ripalta
;Cervignano_Ripalta;Cervignano;;;Cervignano_Ripalta
;Cervignano_Sergnano;Sergnano;;;Cervignano_Sergnano
;Cervignano_Sergnano;Cervignano;;;Cervignano_Sergnano
;Cervignano_Settala_1;Settala;;;Cervignano_Settala_1
;Cervignano_Settala_1;Cervignano;;;Cervignano_Settala_1
;Cervignano_Settala_2;Settala;;;Cervignano_Settala_2
;Cervignano_Settala_2;Cervignano;;;Cervignano_Settala_2
;Cherbourg_Le Havre;LeHavre;;;Cherbourg_Le Havre
;Cherbourg_Le Havre;Cherbourg;;;Cherbourg_Le Havre
;Chieti_Cupello;Cupello;;;Chieti_Cupello
;Chieti_Cupello;Chieti;;;Chieti_Cupello
;Chinchilla_Montesa;Chinchilla;;;Chinchilla_Montesa
;Chinchilla_Montesa;Montesa;;;Chinchilla_Montesa
;Chivasso_Mortara;Mortara;;;Chivasso_Mortara
;Chivasso_Mortara;Chivasso;;;Chivasso_Mortara
;Chivasso_Poirino;Poirino;;;Chivasso_Poirino
;Chivasso_Poirino;Chivasso;;;Chivasso_Poirino
;Ciciliano_Melizzano;Melizzano;;;Ciciliano_Melizzano
;Ciciliano_Melizzano;Ciciliano;;;Ciciliano_Melizzano
;Cordoba_AlcazarDeSanJuan;Cordoba;;;Cordoba_AlcazarDeSanJuan
;Cordoba_AlcazarDeSanJuan;AlcazarDeSanJuan;;;Cordoba_AlcazarDeSanJuan
;Cordoba_Almendralejo;Cordoba;;;Cordoba_Almendralejo
;Cordoba_Almendralejo;Almendralejo;;;Cordoba_Almendralejo
;Cordoba_CampoMajor_1;CampoMaior;;;Cordoba_CampoMajor_1
;Cordoba_CampoMajor_1;Cordoba;;;Cordoba_CampoMajor_1
;Cordoba_CampoMajor_2;CampoMaior;;;Cordoba_CampoMajor_2
;Cordoba_CampoMajor_2;Cordoba;;;Cordoba_CampoMajor_2
;Cordoba_Grenada;Grenada;;;Cordoba_Grenada
;Cordoba_Grenada;Cordoba;;;Cordoba_Grenada
;Cordoba_Puertollano;Cordoba;;;Cordoba_Puertollano
;Cordoba_Puertollano;Puertollano;;;Cordoba_Puertollano
;Cortemaggiore_Pontremoli;Pontremoli;;;Cortemaggiore_Pontremoli
;Cortemaggiore_Pontremoli;Cortemaggiore;;;Cortemaggiore_Pontremoli
;Crotone_MaidaSEufemia;MaidaSEufemia;;;Crotone_MaidaSEufemia
;Crotone_MaidaSEufemia;Crotone;;;Crotone_MaidaSEufemia
;Cupello_Biccari;Biccari;;;Cupello_Biccari
;Cupello_Biccari;Cupello;;;Cupello_Biccari
;Cupello_Vastogirardi;Vastogirardi;;;Cupello_Vastogirardi
;Cupello_Vastogirardi;Cupello;;;Cupello_Vastogirardi
;Deudan;Quarnstedt;;;Deudan
;Deudan;Ellund_D;;;Deudan
;Deudan;Ellund_DK;;;
;Deudan_Loop;Fockbek;;;Deudan_Loop
;Deudan_Loop;Ellund_D;;;Deudan_Loop
;Donges_Angouleme;Angouleme;;;Donges_Angouleme
;Donges_Angouleme;Donges;;;Donges_Angouleme
;Donges_Paris;Paris;;;Donges_Paris
;Donges_Paris;Donges;;;Donges_Paris
;Ellund_Alborg;Alborg;;;Ellund_Alborg
;Ellund_Alborg;Ellund_DK;;;Ellund_Alborg
;Epe_Legden;Legden;;;Epe_Legden
;Epe_Legden;Epe_H;;;Epe_Legden
;ERM;Ludwigshafen;;;ERM
;ERM;Karlsruhe;;;ERM
;ERM_Extra;Karlsruhe;;;ERM_Extra
;ERM_Extra;AuAmRhein;;;ERM_Extra
;EUGAL_1;Lubmin;;;EUGAL_1
;EUGAL_1;Kienbaum;;;EUGAL_1
;EUGAL_1;Radeland;;;EUGAL_1
;EUGAL_1;Weissack;;;EUGAL_1
;EUGAL_1;Deutschneudorf;;;EUGAL_1
;EUGAL_1;Gebirgsneudorf;;;EUGAL_1
;EUGAL_2;Lubmin;;;EUGAL_1
;EUGAL_2;Kienbaum;;;EUGAL_1
;EUGAL_2;Radeland;;;EUGAL_1
;EUGAL_2;Weissack;;;EUGAL_1
;Europipe_II;Dornum;;;Europipe_II
;Europipe_II;Karsto;;;Europipe_II
;Flaibano_Bordano_1;Bordano;;;Flaibano_Bordano_1
;Flaibano_Bordano_1;Flaibano;;;Flaibano_Bordano_1
;Flaibano_Bordano_2;Bordano;;;Flaibano_Bordano_2
;Flaibano_Bordano_2;Flaibano;;;Flaibano_Bordano_2
;Flaibano_Bordano_3;Bordano;;;Flaibano_Bordano_3
;Flaibano_Bordano_3;Flaibano;;;Flaibano_Bordano_3
;Flaibano_Gonars_1;Gonars;;;Flaibano_Gonars_1
;Flaibano_Gonars_1;Flaibano;;;Flaibano_Gonars_1
;Flaibano_Gonars_2;Gonars;;;Flaibano_Gonars_2
;Flaibano_Gonars_2;Flaibano;;;Flaibano_Gonars_2
;Fluxys_1;Zeebrugge;;;Fluxys
;Fluxys_1;Maldegem;;;Fluxys
;Fluxys_1;Mons;;;Fluxys
;Fluxys_2;Zeebrugge;;;Fluxys
;Fluxys_2;Maldegem;;;Fluxys
;Fluxys_2;Berneau;;;Fluxys
;Foligno_GalleseCivitaCast;Gallese;;;Foligno_GalleseCivitaCast
;Foligno_GalleseCivitaCast;Foligno;;;Foligno_GalleseCivitaCast
;Folmhuse_Grotegaste_Loop;Grotegaste;;;Folmhuse_Grotegaste_Loop
;Folmhuse_Grotegaste_Loop;Folmhusen;;;Folmhuse_Grotegaste_Loop
;Forchheim_Finsing;Finsing;;;Forchheim_Finsing
;Forchheim_Finsing;Forchheim;;;Forchheim_Finsing
;FosSurMer_Beziers;FosSurMer;;;FosSurMer_Beziers
;FosSurMer_Beziers;Beziers;;;FosSurMer_Beziers
;FosSurMer_Tersanne;Tersanne;;;FosSurMer_Tersanne
;FosSurMer_Tersanne;FosSurMer;;;FosSurMer_Tersanne
;FosSurMer_Vorepe_1;Vorepe;;;FosSurMer_Vorepe_1
;FosSurMer_Vorepe_1;FosSurMer;;;FosSurMer_Vorepe_1
;FosSurMer_Vorepe_2;Vorepe;;;FosSurMer_Vorepe_2
;FosSurMer_Vorepe_2;FosSurMer;;;FosSurMer_Vorepe_2
;GaglianoSparacollo_CalderariEnna_1;CalderariEnna;;;GaglianoSparacollo_CalderariEnna_1
;GaglianoSparacollo_CalderariEnna_1;GaglianoSparacollo;;;GaglianoSparacollo_CalderariEnna_1
;GaglianoSparacollo_CalderariEnna_2;CalderariEnna;;;GaglianoSparacollo_CalderariEnna_2
;GaglianoSparacollo_CalderariEnna_2;GaglianoSparacollo;;;GaglianoSparacollo_CalderariEnna_2
;GaglianoSparacollo_CalderariEnna_3;CalderariEnna;;;GaglianoSparacollo_CalderariEnna_3
;GaglianoSparacollo_CalderariEnna_3;GaglianoSparacollo;;;GaglianoSparacollo_CalderariEnna_3
;GaglianoSparacollo_Gagliano;Gagliano;;;GaglianoSparacollo_Gagliano
;GaglianoSparacollo_Gagliano;GaglianoSparacollo;;;GaglianoSparacollo_Gagliano
;GalleseCivitaCast_Ciciliano;Ciciliano;;;GalleseCivitaCast_Ciciliano
;GalleseCivitaCast_Ciciliano;Gallese;;;GalleseCivitaCast_Ciciliano
;GalleseCivitaCast_Oricola;Oricola;;;GalleseCivitaCast_Oricola
;GalleseCivitaCast_Oricola;Gallese;;;GalleseCivitaCast_Oricola
;Gazelle_1;Brandov;;;Gazelle
;Gazelle_1;Gebirgsneudorf;;;Gazelle
;Gazelle_1;Rozvadov;;;Gazelle
;Gernsheim_NKP;Gernsheim;;;Gernsheim_NKP
;Gernsheim_NKP;Herchenrode;;;Gernsheim_NKP
;Gijon_Oviedo;Oviedo;;;Gijon_Oviedo
;Gijon_Oviedo;Gijon;;;Gijon_Oviedo
;Giurgiu_Rus;Giurgiu;;;Giurgiu_Rus
;Giurgiu_Rus;Russe;;;Giurgiu_Rus
;Giurgiu_Rus_Extra_1;Podisor;;;Giurgiu_Rus_E
;Giurgiu_Rus_Extra_1;Giurgiu;;;Giurgiu_Rus_E
;Golasecca_Oltrona;Oltrona;;;Golasecca_Oltrona
;Golasecca_Oltrona;Golasecca;;;Golasecca_Oltrona
;Gonars_Villesse;Villesse;;;Gonars_Villesse
;Gonars_Villesse;Gonars;;;Gonars_Villesse
;Groningen_Rehden_Extra;Groningen;;;Groningen_Rehden_Extra
;Groningen_Rehden_Extra;Rehden;;;Groningen_Rehden_Extra
;Grumento_Moliterno;Moliterno;;;Grumento_Moliterno
;Grumento_Moliterno;Grumento;;;Grumento_Moliterno
;Grumento_MonteAlpi_1;MonteAlpi;;;Grumento_MonteAlpi_1
;Grumento_MonteAlpi_1;Grumento;;;Grumento_MonteAlpi_1
;Grumento_MonteAlpi_2;MonteAlpi;;;Grumento_MonteAlpi_2
;Grumento_MonteAlpi_2;Grumento;;;Grumento_MonteAlpi_2
;Grumento_MontesanoSullaMarcellana;Montesano;;;Grumento_MontesanoSullaMarcellana
;Grumento_MontesanoSullaMarcellana;Grumento;;;Grumento_MontesanoSullaMarcellana
;GTS_1_Extra;AnnaPaulowna;;;GTS
;GTS_1_Extra;Wieringermeer;;;GTS
;GTS_1_Extra;Groningen;;;GTS
;GTS_2_Extra;Maastricht;;;GTS
;GTS_2_Extra;Ravenstein;;;GTS
;GTS_2_Extra;Ewijk;;;GTS
;GTS_2_Extra;Wijngaarden;;;GTS
;GTS_2_Extra;Wieringermeer;;;GTS
;HAG_1;Baumgarten;;;HAG
;HAG_1;Kittsee;;;HAG
;HAG_1;DeutschJahndorf;;;HAG
;Hauts_de_France;Cuvilly;;;Hauts_de_France
;Hauts_de_France;Pitgam;;;Hauts_de_France
;Hauts_de_France_II;Pitgam;;;Hauts_de_France_II
;Hauts_de_France_II;Dunkerque;;;Hauts_de_France_II
;Huelva_Cordoba;Huelva;;;Huelva_Cordoba
;Huelva_Cordoba;Cordoba;;;Huelva_Cordoba
;IndefatigableHewitt_Bacton;Bacton;;;E106, Leman Bank
;IndefatigableHewitt_Bacton;Indefatigable;;;E106, Leman Bank
;Interconnector;Zeebrugge;;;Interconnector
;Interconnector;Bacton;;;Interconnector
;Interconnector_1;Loughshinny;;;Interconnector_1
;Interconnector_1;Beattock;;;Interconnector_2
;Interconnector_1;Gormanston;;;Interconnector_2
;Istrana_Caldonazzo;Caldonazzo;;;Istrana_Caldonazzo
;Istrana_Caldonazzo;Istrana;;;Istrana_Caldonazzo
;Istrana_Mira;Mira;;;Istrana_Mira
;Istrana_Mira;Istrana;;;Istrana_Mira
;Istrana_SPoloDiPiave_1;SPoloDiPiave;;;Istrana_SPoloDiPiave_1
;Istrana_SPoloDiPiave_1;Istrana;;;Istrana_SPoloDiPiave_1
;Istrana_SPoloDiPiave_2;SPoloDiPiave;;;Istrana_SPoloDiPiave_2
;Istrana_SPoloDiPiave_2;Istrana;;;Istrana_SPoloDiPiave_2
;Istrana_SPoloDiPiave_3;SPoloDiPiave;;;Istrana_SPoloDiPiave_3
;Istrana_SPoloDiPiave_3;Istrana;;;Istrana_SPoloDiPiave_3
;JAGAL_1;Mallnow;;;JAGAL
;JAGAL_1;Kienbaum;;;JAGAL
;JAGAL_1;Radeland;;;JAGAL
;JAGAL_1;Rueckersdorf;;;JAGAL
;JAMAL_1;Kondratki;;;JAMAL
;JAMAL_1;Wloclawek;;;JAMAL
;JAMAL_1;Mallnow;;;JAMAL
;JAMAL_2;Wloclawek;;;JAMAL
;JAMAL_2;Wysokoje;;;JAMAL
;KIP;Petrzalka;;;KIP
;KIP;Kittsee;;;KIP
;Lack_Bayonne;Bayonne;;;Lack_Bayonne
;Lack_Bayonne;Lacq;;;Lack_Bayonne
;Lacq_Angouleme;Lacq;;;Lacq_Angouleme
;Lacq_Angouleme;Angouleme;;;Lacq_Angouleme
;Lacq_Navarra;Navarra;;;Lacq_Navarra
;Lacq_Navarra;Lacq;;;Lacq_Navarra
;Latiano_Brindisi_1;Brindisi;;;Latiano_Brindisi_1
;Latiano_Brindisi_1;Latiano;;;Latiano_Brindisi_1
;Latiano_Brindisi_2;Brindisi;;;Latiano_Brindisi_2
;Latiano_Brindisi_2;Latiano;;;Latiano_Brindisi_2
;Lauria_Morano_1;Morano;;;Lauria_Morano_1
;Lauria_Morano_1;Lauria;;;Lauria_Morano_1
;Lauria_Morano_2;Morano;;;Lauria_Morano_2
;Lauria_Morano_2;Lauria;;;Lauria_Morano_2
;Legden_StHubert;StHubert;;;Legden_StHubert
;Legden_StHubert;Legden;;;Legden_StHubert
;LeHavre_Paris_1;Paris;;;LeHavre_Paris_1
;LeHavre_Paris_1;LeHavre;;;LeHavre_Paris_1
;LeHavre_Paris_2;Paris;;;LeHavre_Paris_2
;LeHavre_Paris_2;LeHavre;;;LeHavre_Paris_2
;Leira_Braga;Braga;;;Leira_Braga
;Leira_Braga;Leiria;;;Leira_Braga
;Leiria_Tuy;Leiria;;;Leiria_Tuy
;Leiria_Tuy;Tuy;;;Leiria_Tuy
;Lingen_PS;Lingen;;;Lingen_PS
;Lingen_PS;Lingen;;;Lingen_PS
;Llandarcy_Bacton;Bacton;;;Llandarcy_Bacton
;Llandarcy_Bacton;Llandarcy;;;Llandarcy_Bacton
;LSF_1;Schwandorf;;;LSF
;LSF_1;Forchheim;;;LSF
;LSF_1;Finsing;;;LSF
;LSF_Extra;Finsing;;;LSF_Extra
;LSF_Extra;Burghausen;;;LSF_Extra
;Lyon_Annecy_1;Annecy;;;E29
;Lyon_Annecy_1;Lyon;;;E29
;Lyon_Annecy_2;Annecy;;;E29
;Lyon_Annecy_2;Tersanne;;;E29
;Lyon_Tersanne_1;Lyon;;;E29
;Lyon_Tersanne_1;Tersanne;;;E29
;Lyon_Tersanne_2;Lyon;;;E29
;Lyon_Tersanne_2;Tersanne;;;E29
;Maastrict_Paris_1;Maastricht;;;E48
;Maastrict_Paris_1;Berneau;;;E48
;Maastrict_Paris_2;Maastricht;;;E48
;Maastrict_Paris_2;Berneau;;;E48
;Maastrict_Paris_3;Berneau;;;E48_2
;Maastrict_Paris_3;Mons;;;E48_2
;Maastrict_Paris_4;Berneau;;;E48_2
;Maastrict_Paris_4;Mons;;;E48_2
;Maastrict_Paris_5;Mons;;;E48
;Maastrict_Paris_5;Cuvilly;;;E48
;Maastrict_Paris_5;Paris;;;E48
;Maastrict_Paris_6;Mons;;;E48
;Maastrict_Paris_6;Cuvilly;;;E48
;Maastrict_Paris_6;Paris;;;E48
;Madrid_Palancares;MarismaPalancares;;;Madrid_Palancares
;Madrid_Palancares;Madrid;;;Madrid_Palancares
;MAGAL2France;Medelsheim;;;MAGAL2France
;MAGAL2France;Nancy;;;MAGAL2France
;MaidaSEufemia_Palmi_1;Palmi;;;MaidaSEufemia_Palmi_1
;MaidaSEufemia_Palmi_1;MaidaSEufemia;;;MaidaSEufemia_Palmi_1
;MaidaSEufemia_Palmi_2;Palmi;;;MaidaSEufemia_Palmi_2
;MaidaSEufemia_Palmi_2;MaidaSEufemia;;;MaidaSEufemia_Palmi_2
;MaidaSEufemia_ReggioCalabria;ReggioCalabria;;;MaidaSEufemia_ReggioCalabria
;MaidaSEufemia_ReggioCalabria;MaidaSEufemia;;;MaidaSEufemia_ReggioCalabria
;Malbroghetto_Tarvisio_1;Tarvisio;;;Malbroghetto_Tarvisio_1
;Malbroghetto_Tarvisio_1;Malbroghetto;;;Malbroghetto_Tarvisio_1
;Malbroghetto_Tarvisio_2;Tarvisio;;;Malbroghetto_Tarvisio_2
;Malbroghetto_Tarvisio_2;Malbroghetto;;;Malbroghetto_Tarvisio_2
;Malbroghetto_Tarvisio_3;Tarvisio;;;Malbroghetto_Tarvisio_3
;Malbroghetto_Tarvisio_3;Malbroghetto;;;Malbroghetto_Tarvisio_3
;Maldegem_Zeebrugge_Extra;Zeebrugge;;;Maldegem_Zeebrugge_Extra
;Maldegem_Zeebrugge_Extra;Maldegem;;;Maldegem_Zeebrugge_Extra
;MarismaPalancares_Madrid;Madrid;;;MarismaPalancares_Madrid
;MarismaPalancares_Madrid;MarismaPalancares;;;MarismaPalancares_Madrid
;Masera_Veruno_1;Veruno;;;Masera_Veruno_1
;Masera_Veruno_1;Masera;;;Masera_Veruno_1
;Masera_Veruno_2;Veruno;;;Masera_Veruno_2
;Masera_Veruno_2;Masera;;;Masera_Veruno_2
;MEGAL_Nord_1;Waidhaus;;;MEGAL_Nord_1
;MEGAL_Nord_1;Rothenstadt;;;MEGAL_Nord_1
;MEGAL_Nord_1;Rimpar;;;MEGAL_Nord_2
;MEGAL_Nord_1;Gernsheim;;;MEGAL_Nord_3
;MEGAL_Nord_1;MittelbrunnMEGAL;;;MEGAL_Nord_4
;MEGAL_Nord_1;Obergailbach;;;MEGAL_Nord_4
;MEGAL_Nord_Loop_1;Waidhaus;;;MEGAL_Nord_5
;MEGAL_Nord_Loop_1;Rothenstadt;;;MEGAL_Nord_5
;MEGAL_Nord_Loop_1;Rimpar;;;MEGAL_Nord_5
;MEGAL_Nord_Loop_1;Gernsheim;;;MEGAL_Nord_5
;MEGAL_Nord_Loop_1;MittelbrunnMEGAL;;;MEGAL_Nord_6
;MEGAL_Nord_Loop_1;Obergailbach;;;MEGAL_Nord_6
;MEGAL_Sued_1_1;Rothenstadt;;;MEGAL_Sued_1
;MEGAL_Sued_1_1;Schwandorf;;;MEGAL_Sued_1
;MEGAL_Sued_1_1;Windberg;;;MEGAL_Sued_1
;MEGAL_Sued_1_1;Wildenranna;;;MEGAL_Sued_1
;MEGAL_Sued_1_1;Oberkappel;;;MEGAL_Sued_1
;MEGAL_Sued_2_1;Rothenstadt;;;MEGAL_Sued_2
;MEGAL_Sued_2_1;Schwandorf;;;MEGAL_Sued_2
;MEGAL_Sued_2_1;Windberg;;;MEGAL_Sued_2
;Melizzano_Benevento;Benevento;;;Melizzano_Benevento
;Melizzano_Benevento;Melizzano;;;Melizzano_Benevento
;Menfi_MazaraDelVallo_1;MazaraDelVallo;;;Menfi_MazaraDelVallo_1
;Menfi_MazaraDelVallo_1;Menfi;;;Menfi_MazaraDelVallo_1
;Menfi_MazaraDelVallo_2;MazaraDelVallo;;;Menfi_MazaraDelVallo_2
;Menfi_MazaraDelVallo_2;Menfi;;;Menfi_MazaraDelVallo_2
;Menfi_MazaraDelVallo_3;MazaraDelVallo;;;Menfi_MazaraDelVallo_3
;Menfi_MazaraDelVallo_3;Menfi;;;Menfi_MazaraDelVallo_3
;Messina_Montalbano_1;Montalbano;;;Messina_Montalbano_1
;Messina_Montalbano_1;Messina;;;Messina_Montalbano_1
;Messina_Montalbano_2;Montalbano;;;Messina_Montalbano_2
;Messina_Montalbano_2;Messina;;;Messina_Montalbano_2
;Messina_Montalbano_3;Montalbano;;;Messina_Montalbano_3
;Messina_Montalbano_3;Messina;;;Messina_Montalbano_3
